numero de mensaje;eje x;eje y;eje z
97;-0,01;0,04;0,98
98;-0,01;0,04;0,98
99;-0,01;0,04;0,98
100;-0,01;0,04;0,98
101;-0,01;0,04;0,98
102;-0,01;0,04;0,98
103;-0,01;0,04;0,98
104;-0,01;0,04;0,98
105;-0,01;0,04;0,98
106;-0,01;0,04;0,98
107;-0,01;0,04;0,98
108;-0,01;0,04;0,98
109;-0,01;0,04;0,98
110;-0,01;0,04;0,98
111;-0,01;0,04;0,98
112;-0,01;0,04;0,98
113;-0,01;0,04;0,98
114;-0,01;0,04;0,98
115;-0,01;0,04;0,98
116;-0,01;0,04;0,98
117;-0,01;0,04;0,98
118;-0,01;0,04;0,98
119;-0,01;0,04;0,98
120;-0,01;0,04;0,98
121;-0,01;0,04;0,98
122;-0,01;0,04;0,98
123;-0,01;0,04;0,98
124;-0,01;0,04;0,98
125;-0,01;0,04;0,98
126;-0,01;0,04;0,98
127;-0,01;0,04;0,98
128;-0,01;0,04;0,98
129;-0,01;0,04;0,98
130;-0,01;0,04;0,98
131;-0,01;0,04;0,98
132;-0,01;0,04;0,98
133;-0,01;0,04;0,98
134;-0,01;0,04;0,98
135;-0,01;0,04;0,98
136;-0,01;0,04;0,98
137;-0,01;0,04;0,98
138;-0,01;0,04;0,98
139;-0,01;0,04;0,98
140;-0,01;0,04;0,98
141;-0,01;0,04;0,98
142;-0,01;0,04;0,98
143;-0,01;0,04;0,98
144;-0,01;0,04;0,98
145;-0,01;0,04;0,98
146;-0,01;0,04;0,98
147;-0,01;0,04;0,98
148;-0,01;0,04;0,98
149;-0,01;0,04;0,98
150;-0,01;0,04;0,98
151;-0,01;0,04;0,98
152;-0,01;0,04;0,98
153;-0,01;0,04;0,98
154;-0,01;0,04;0,98
155;-0,01;0,04;0,98
156;-0,01;0,04;0,98
157;-0,01;0,04;0,98
158;-0,01;0,04;0,98
159;-0,01;0,04;0,98
160;-0,01;0,04;0,98
161;-0,01;0,04;0,98
162;-0,01;0,04;0,98
163;-0,01;0,04;0,98
164;-0,01;0,04;0,99
165;-0,01;0,04;0,99
166;-0,09;0,07;0,94
167;0,02;0,03;0,98
168;-0,01;0,02;0,93
169;0,03;0,04;1,01
170;0,09;-0,02;1,02
171;0,04;0,01;1,18
172;0,09;-0,11;1,06
173;-0,00;-0,48;1,00
174;0,10;-0,52;0,64
175;0,05;-0,87;0,66
176;0,29;-0,35;0,49
177;0,10;-0,43;1,00
178;-0,12;-1,55;0,53
179;0,38;0,90;0,17
180;0,00;-2,06;1,35
181;0,16;0,65;-0,06
182;-0,15;-2,05;1,78
183;0,11;0,06;0,43
184;-0,22;-0,67;0,81
185;0,05;-0,66;0,83
186;0,26;0,27;0,17
187;0,20;-1,01;1,28
188;0,41;0,02;0,35
189;0,31;-0,75;1,23
190;0,27;-0,08;0,38
191;0,28;-0,57;1,04
192;0,33;-0,43;0,80
193;0,30;-0,41;0,80
194;0,31;-0,47;0,83
195;0,31;-0,42;0,81
196;0,32;-0,43;0,80
197;0,30;-0,46;0,80
198;0,32;-0,44;0,82
199;0,32;-0,45;0,80
200;0,31;-0,44;0,80
201;0,32;-0,46;0,80
202;0,33;-0,46;0,81
203;0,36;-0,44;0,81
204;0,41;-0,41;0,78
205;0,28;0,01;0,36
206;0,19;-1,16;1,40
207;0,16;-0,22;0,67
208;0,01;0,48;0,26
209;-0,10;-1,46;1,63
210;-0,07;1,14;-0,91
211;0,12;-1,97;2,63
212;0,14;0,25;0,07
213;-0,11;-0,65;1,74
214;0,27;0,02;0,51
215;0,72;-0,05;0,93
216;0,92;0,27;0,79
217;0,68;0,47;0,18
218;0,52;0,86;-0,45
219;0,26;0,70;-0,73
220;0,19;0,66;-0,83
221;0,40;0,51;-0,76
222;0,48;0,56;-0,68
223;0,47;0,49;-0,92
224;0,52;0,40;-0,74
225;0,70;0,55;-0,53
226;0,88;0,65;-0,11
227;0,60;0,34;-0,43
228;0,86;-0,76;1,51
229;0,80;0,73;-0,95
230;0,83;-0,66;1,44
231;0,66;0,72;-0,90
232;0,83;-0,57;1,87
233;0,66;0,18;0,13
234;0,67;-0,14;0,67
235;0,52;-0,40;0,41
236;0,13;-0,18;0,57
237;0,02;0,00;1,41
238;0,05;0,15;1,31
239;-0,04;0,17;0,96
240;-0,06;0,07;0,91
241;-0,04;0,03;1,01
0;0,13;-0,00;0,97
1;0,13;-0,00;0,97
2;0,13;-0,00;0,97
3;0,13;-0,00;0,97
4;0,13;-0,00;0,97
5;0,13;-0,00;0,97
6;0,13;-0,00;0,97
7;0,13;-0,00;0,97
8;0,13;-0,00;0,97
9;0,13;-0,00;0,97
10;0,13;-0,00;0,97
11;0,13;-0,00;0,97
12;0,13;-0,00;0,97
13;0,13;-0,00;0,97
14;0,13;-0,00;0,97
15;0,13;-0,00;0,97
16;0,13;-0,00;0,97
17;0,13;-0,00;0,97
18;0,13;-0,00;0,97
19;0,13;-0,00;0,97
20;0,13;-0,00;0,97
21;0,13;-0,00;0,97
22;0,13;-0,00;0,97
23;0,13;-0,00;0,97
24;0,13;-0,00;0,97
25;0,13;-0,00;0,97
26;0,13;-0,00;0,97
27;0,13;-0,00;0,97
28;0,13;-0,00;0,97
29;0,13;-0,00;0,97
30;0,13;-0,00;0,97
31;0,13;-0,00;0,97
32;0,13;-0,00;0,97
33;0,13;-0,00;0,97
34;0,13;-0,00;0,97
35;0,13;-0,00;0,97
36;0,13;-0,00;0,97
37;0,13;-0,00;0,97
38;0,13;-0,00;0,97
39;0,13;-0,00;0,97
40;0,13;-0,00;0,97
41;0,13;-0,00;0,97
42;0,13;-0,00;0,97
43;0,13;-0,00;0,97
44;0,13;-0,00;0,97
45;0,13;-0,00;0,97
46;0,13;-0,00;0,97
47;0,13;-0,00;0,97
48;0,13;-0,00;0,97
49;0,13;-0,00;0,97
50;0,13;-0,00;0,97
51;0,13;-0,00;0,97
52;0,13;-0,00;0,97
53;0,13;-0,00;0,97
54;0,13;-0,00;0,97
55;0,13;-0,00;0,97
56;0,13;-0,00;0,97
57;0,13;-0,00;0,97
58;0,13;-0,00;0,97
59;0,13;-0,00;0,97
60;0,13;-0,00;0,97
61;0,13;-0,00;0,97
62;0,13;-0,00;0,97
63;0,13;-0,00;0,97
64;0,13;-0,00;0,97
65;0,13;-0,00;0,97
66;0,13;-0,00;0,97
67;0,13;-0,00;0,97
68;0,13;-0,00;0,97
69;0,13;-0,00;0,97
70;0,13;-0,00;0,97
71;0,13;-0,00;0,97
72;0,13;-0,00;0,97
73;0,13;-0,00;0,97
74;0,13;-0,00;0,97
75;0,13;-0,00;0,97
76;0,13;-0,00;0,97
77;0,13;-0,00;0,97
78;0,13;-0,00;0,97
79;0,13;-0,00;0,97
80;0,13;-0,00;0,97
81;0,13;-0,00;0,97
82;0,13;-0,00;0,97
83;0,13;-0,00;0,97
84;0,13;-0,00;0,97
85;0,13;-0,00;0,97
86;0,13;-0,00;0,97
87;0,13;-0,00;0,97
88;0,13;-0,00;0,97
89;0,13;-0,00;0,97
90;0,13;-0,00;0,97
91;0,13;-0,00;0,97
92;0,14;-0,00;0,97
93;0,13;-0,00;0,97
94;0,16;-0,04;0,95
95;0,13;-0,00;0,97
96;0,13;-0,00;0,97
97;0,14;-0,00;0,97
98;0,13;0,00;0,97
99;0,13;-0,01;0,97
100;0,14;-0,01;0,97
101;0,13;-0,00;0,97
102;0,14;-0,00;0,97
103;0,14;-0,00;0,97
104;0,13;0,02;0,99
105;0,07;-0,33;1,02
106;0,10;-0,49;0,89
107;-0,08;-0,75;0,78
108;0,08;-0,77;0,85
109;-0,26;-0,88;0,41
110;-0,02;-0,87;0,31
111;0,02;-1,03;0,28
112;-0,06;-1,04;0,17
113;-0,05;-0,97;0,13
114;-0,08;-1,00;0,18
115;-0,06;-1,03;0,25
116;-0,06;-1,05;0,22
117;-0,07;-0,93;0,23
118;-0,07;-0,92;0,25
119;-0,10;-1,00;0,13
120;-0,00;-1,00;0,18
121;0,06;-0,99;0,24
122;-0,04;-0,92;0,10
123;-0,04;-0,97;0,15
124;-0,03;-1,00;0,05
125;-0,01;-0,99;0,06
126;-0,04;-1,00;-0,02
127;-0,03;-1,00;0,05
128;-0,01;-1,00;0,03
129;-0,00;-1,00;0,01
130;-0,01;-1,00;0,00
131;-0,01;-0,99;0,01
132;-0,01;-1,00;0,00
133;-0,01;-0,99;0,00
134;-0,01;-1,00;0,00
135;-0,01;-1,00;-0,00
136;-0,01;-1,00;-0,00
137;-0,01;-1,00;-0,00
138;-0,01;-1,00;-0,00
139;-0,01;-1,00;-0,00
140;-0,01;-1,00;-0,01
141;-0,01;-1,00;-0,01
142;-0,01;-1,00;-0,01
143;-0,01;-1,00;-0,01
144;-0,01;-1,00;-0,01
145;-0,01;-1,00;-0,01
146;-0,01;-1,00;-0,01
147;-0,01;-1,00;-0,01
148;-0,01;-1,00;-0,01
149;-0,01;-1,00;-0,01
150;-0,01;-1,00;-0,01
151;-0,01;-1,00;-0,02
152;-0,01;-0,99;-0,01
153;-0,01;-1,00;-0,02
154;-0,01;-1,00;-0,01
155;-0,01;-1,00;-0,01
156;-0,01;-1,00;-0,02
157;-0,01;-1,00;-0,01
158;-0,01;-1,00;-0,02
159;-0,01;-1,00;-0,02
160;-0,01;-1,00;-0,02
161;-0,01;-1,00;-0,02
162;-0,01;-1,00;-0,02
163;-0,01;-1,00;-0,02
164;-0,01;-1,00;-0,02
165;-0,01;-1,00;-0,02
166;-0,01;-1,00;-0,02
167;-0,01;-1,00;-0,02
168;-0,01;-1,00;-0,02
169;-0,01;-1,00;-0,02
170;-0,01;-1,00;-0,02
171;-0,01;-1,00;-0,02
172;-0,01;-1,00;-0,03
173;-0,01;-1,00;-0,03
174;-0,01;-0,99;-0,02
175;-0,01;-1,00;-0,03
176;-0,01;-1,00;-0,03
177;-0,01;-1,00;-0,03
178;-0,01;-0,99;-0,02
179;-0,01;-1,00;-0,03
180;-0,01;-1,00;-0,03
181;-0,01;-1,00;-0,03
182;-0,01;-1,00;-0,03
183;-0,01;-1,00;-0,03
184;-0,01;-1,00;-0,03
185;-0,01;-1,00;-0,03
186;-0,01;-1,00;-0,03
187;-0,01;-1,00;-0,03
188;-0,01;-1,00;-0,02
189;-0,01;-1,00;-0,02
190;-0,01;-1,00;-0,02
191;-0,01;-1,00;-0,02
192;-0,01;-1,00;-0,02
193;-0,01;-1,00;-0,01
194;-0,01;-1,00;-0,01
195;0,02;-1,03;0,02
196;-0,01;-0,98;0,09
197;0,05;-1,06;0,09
198;0,00;-0,95;0,30
199;-0,01;-0,92;0,37
200;0,00;-0,89;0,41
201;-0,02;-0,89;0,42
202;-0,00;-0,83;0,54
203;-0,02;-0,84;0,52
204;-0,01;-0,77;0,60
205;0,01;-0,74;0,65
206;0,06;-0,70;0,85
207;0,21;-0,48;0,72
208;0,41;-0,19;0,98
209;0,26;-0,19;0,94
210;0,20;-0,20;0,87
211;0,34;0,11;0,92
212;0,16;0,41;0,81
213;0,19;1,53;0,92
214;0,13;0,89;0,50
215;0,00;0,89;0,10
216;0,02;1,05;0,06
217;-0,05;1,02;0,00
218;-0,11;0,98;-0,04
219;-0,10;0,98;-0,16
220;-0,08;1,00;-0,13
221;-0,08;1,00;-0,13
222;-0,05;1,00;-0,17
223;-0,03;1,00;-0,16
224;0,01;1,00;-0,16
225;-0,01;1,00;-0,13
226;-0,01;1,00;-0,13
227;0,01;1,01;-0,14
228;-0,01;1,00;-0,10
229;-0,03;1,00;-0,13
230;-0,01;1,00;-0,12
231;-0,01;1,00;-0,13
232;-0,01;1,00;-0,13
233;-0,01;1,00;-0,12
234;-0,01;1,00;-0,13
235;-0,01;1,00;-0,12
236;-0,01;1,00;-0,12
237;-0,01;1,00;-0,13
238;-0,01;1,00;-0,12
239;-0,01;1,00;-0,13
240;-0,01;1,00;-0,13
241;-0,01;1,00;-0,12
242;-0,01;1,00;-0,12
0;-0,12;1,00;-0,16
1;-0,15;0,99;-0,16
2;-0,14;0,97;0,00
3;-0,13;1,00;-0,07
4;-0,14;1,00;-0,10
5;-0,13;1,00;-0,11
6;-0,13;1,00;-0,11
7;-0,13;1,00;-0,11
8;-0,13;1,00;-0,12
9;-0,13;1,00;-0,11
10;-0,13;1,00;-0,11
11;-0,13;1,00;-0,11
12;-0,14;1,00;-0,10
13;-0,13;1,00;-0,10
14;-0,14;1,00;-0,09
15;-0,13;1,00;-0,11
16;-0,14;1,00;-0,10
17;-0,14;1,00;-0,10
18;-0,14;1,00;-0,11
19;-0,14;1,00;-0,10
20;-0,14;1,00;-0,10
21;-0,13;1,00;-0,10
22;-0,14;1,00;-0,09
23;-0,14;1,00;-0,10
24;-0,13;1,00;-0,09
25;-0,13;1,00;-0,10
26;-0,14;1,00;-0,09
27;-0,14;1,00;-0,10
28;-0,14;1,00;-0,10
29;-0,14;1,00;-0,10
30;-0,14;0,99;-0,08
31;-0,14;0,99;-0,09
32;-0,14;1,00;-0,13
33;-0,13;1,00;-0,09
34;-0,12;1,00;-0,05
35;-0,10;1,01;-0,02
36;-0,11;1,01;-0,03
37;-0,10;1,01;-0,01
38;-0,10;1,00;0,07
39;-0,12;0,98;0,10
40;-0,11;1,00;0,05
41;-0,02;1,01;0,19
42;-0,06;0,87;0,56
43;-0,06;0,90;0,38
44;-0,05;0,84;0,38
45;-0,18;0,86;0,58
46;-0,16;0,68;0,61
47;-0,15;0,58;0,83
48;-0,15;0,35;0,89
49;-0,18;0,31;0,92
50;-0,21;0,19;0,98
51;-0,23;-0,03;0,97
52;-0,25;0,03;0,96
53;-0,25;-0,06;1,00
54;-0,23;-0,15;0,98
55;-0,21;-0,19;0,93
56;-0,20;-0,26;0,93
57;-0,20;-0,33;0,90
58;-0,21;-0,39;0,91
59;-0,21;-0,44;0,85
60;-0,21;-0,50;0,82
61;-0,21;-0,62;0,68
62;-0,23;-0,80;0,58
63;-0,23;-0,83;0,50
64;-0,23;-0,88;0,35
65;-0,24;-0,92;0,23
66;-0,24;-0,96;0,18
67;-0,25;-0,99;0,15
68;-0,25;-0,95;0,14
69;-0,25;-0,96;0,13
70;-0,25;-0,95;0,11
71;-0,26;-0,98;0,09
72;-0,26;-0,98;0,10
73;-0,26;-0,97;0,10
74;-0,26;-0,97;0,11
75;-0,26;-0,96;0,11
76;-0,25;-0,95;0,12
77;-0,25;-0,96;0,11
78;-0,25;-0,96;0,12
79;-0,26;-0,98;0,16
80;-0,27;-0,96;0,14
81;-0,28;-0,93;0,13
82;-0,30;-0,91;0,13
83;-0,32;-0,95;0,17
84;-0,35;-0,94;0,13
85;-0,38;-0,86;0,06
86;-0,43;-0,88;0,06
87;-0,47;-0,89;0,03
88;-0,53;-0,84;0,03
89;-0,60;-0,83;0,02
90;-0,67;-0,75;0,04
91;-0,79;-0,76;0,02
92;-0,76;-0,62;0,08
93;-0,91;-0,54;0,03
94;-0,91;-0,42;0,08
95;-0,91;-0,36;0,08
96;-0,98;-0,34;0,04
97;-0,99;-0,22;0,08
98;-1,00;-0,17;0,09
99;-0,97;-0,09;0,09
100;-0,99;-0,10;0,11
101;-1,02;-0,07;0,10
102;-1,01;-0,01;0,11
103;-0,99;-0,02;0,13
104;-1,04;-0,01;0,08
105;-1,01;0,01;0,10
106;-1,02;0,03;0,09
107;-1,04;-0,00;0,11
108;-1,01;0,03;0,12
109;-1,01;0,00;0,14
110;-1,01;0,00;0,12
111;-1,01;-0,01;0,09
112;-1,02;-0,00;0,09
113;-1,01;-0,00;0,09
114;-1,01;-0,00;0,09
115;-1,01;-0,00;0,10
116;-1,01;-0,00;0,09
117;-1,01;-0,00;0,09
118;-1,01;-0,00;0,09
119;-1,01;-0,00;0,09
120;-1,01;-0,00;0,09
121;-1,01;-0,00;0,09
122;-1,01;-0,00;0,09
123;-1,01;-0,00;0,08
124;-1,01;-0,00;0,09
125;-1,01;-0,00;0,08
126;-1,01;-0,00;0,09
127;-1,01;-0,00;0,08
128;-1,01;-0,00;0,08
129;-1,01;-0,00;0,08
130;-1,01;-0,00;0,08
131;-1,01;-0,00;0,09
132;-1,01;-0,00;0,08
133;-1,01;-0,00;0,08
134;-1,01;-0,00;0,08
135;-1,01;-0,00;0,08
136;-1,01;-0,00;0,08
137;-1,01;-0,00;0,08
138;-1,01;-0,00;0,09
139;-1,01;-0,00;0,08
140;-1,01;-0,00;0,08
141;-1,01;-0,00;0,08
142;-1,01;-0,00;0,08
143;-1,01;-0,00;0,08
144;-1,01;-0,00;0,09
145;-1,01;-0,00;0,09
146;-1,01;-0,00;0,10
147;-1,01;-0,00;0,10
148;-1,00;-0,00;0,14
149;-0,99;-0,00;0,17
150;-1,00;-0,01;0,18
151;-1,00;-0,01;0,20
152;-0,99;0,00;0,23
153;-0,97;-0,01;0,28
154;-0,95;0,02;0,35
155;-0,90;-0,06;0,46
156;-0,86;0,01;0,52
157;-0,82;-0,00;0,57
158;-0,71;-0,01;0,68
159;-0,54;-0,03;0,80
160;-0,41;0,25;0,93
161;-0,23;-0,04;0,96
162;-0,21;0,02;0,95
163;-0,10;0,02;0,98
164;-0,04;0,03;0,98
165;-0,02;0,03;0,98
166;0,02;-0,04;0,98
167;0,00;-0,01;0,97
168;-0,03;0,00;0,98
169;0,02;-0,01;1,00
170;-0,06;0,02;0,98
171;-0,03;0,02;0,98
172;0,01;0,02;0,98
173;-0,02;0,01;0,99
174;-0,01;-0,00;0,99
175;-0,01;0,00;0,99
176;-0,01;-0,03;0,97
177;-0,02;0,02;0,99
178;-0,01;-0,01;1,02
179;-0,00;-0,00;0,98
180;-0,00;0,02;0,98
181;0,01;-0,00;0,97
182;0,01;-0,01;0,97
183;-0,01;0,03;0,99
184;0,02;0,00;0,96
185;-0,00;0,01;0,99
186;-0,00;0,02;0,98
187;0,00;-0,01;0,98
188;-0,01;0,02;0,97
189;0,01;0,01;0,98
190;0,01;0,02;0,98
191;-0,00;0,00;0,98
192;-0,01;0,01;0,98
193;0,02;0,01;0,98
194;0,00;0,01;0,98
195;0,00;0,01;0,98
196;0,00;0,01;0,98
197;0,00;0,01;0,98
198;0,00;0,01;0,98
199;0,00;0,01;0,98
200;0,00;0,01;0,98
201;0,00;0,01;0,98
202;0,00;0,00;0,98
203;0,00;0,00;0,98
204;0,00;0,01;0,98
205;0,00;0,01;0,98
206;0,00;0,01;0,98
207;0,00;0,01;0,98
208;0,00;0,01;0,98
209;0,00;0,01;0,98
210;0,00;0,01;0,98
211;0,00;0,01;0,98
212;0,00;0,01;0,98
213;0,00;0,01;0,98
214;0,00;0,01;0,98
215;0,00;0,01;0,98
216;0,00;0,01;0,98
217;0,00;0,01;0,98
218;0,00;0,01;0,98
219;0,00;0,01;0,98
220;0,00;0,01;0,98
221;0,00;0,01;0,98
222;0,00;0,01;0,98
223;0,00;0,01;0,98
224;0,00;0,01;0,98
225;0,00;0,01;0,98
226;0,00;0,01;0,98
227;0,00;0,01;0,98
228;0,00;0,01;0,98
229;0,00;0,01;0,98
230;0,00;0,01;0,98
231;0,00;0,01;0,98
232;0,00;0,01;0,98
233;0,00;0,01;0,98
234;0,00;0,01;0,98
235;0,00;0,01;0,98
236;0,00;0,01;0,98
237;0,00;0,01;0,98
238;0,00;0,01;0,98
239;0,00;0,01;0,98
240;0,00;0,01;0,98
241;0,00;0,01;0,98
242;0,00;0,01;0,98
0;0,00;0,01;0,98
1;0,00;0,01;0,98
2;0,00;0,01;0,98
3;0,00;0,01;0,98
4;0,00;0,01;0,98
5;0,00;0,01;0,98
6;0,00;0,01;0,98
7;0,00;0,01;0,98
8;0,00;0,01;0,98
9;0,00;0,01;0,98
10;0,00;0,01;0,98
11;0,00;0,01;0,98
12;0,00;0,01;0,98
13;0,00;0,01;0,98
14;0,00;0,01;0,98
15;0,00;0,01;0,98
16;0,00;0,01;0,98
17;0,00;0,01;0,98
18;0,00;0,01;0,98
19;0,00;0,01;0,98
20;-0,02;-0,04;0,97
21;0,00;0,01;0,98
22;0,00;0,01;0,98
23;0,00;0,01;0,98
24;0,00;0,01;0,98
25;0,00;0,01;0,98
26;0,00;0,01;0,98
27;0,00;0,01;0,98
28;0,00;0,01;0,98
29;0,00;0,01;0,98
30;0,00;0,01;0,98
31;0,00;0,01;0,98
32;0,00;0,01;0,98
33;0,00;0,01;0,98
34;0,00;0,01;0,98
35;0,00;0,01;0,98
36;0,00;0,01;0,98
37;-0,03;-0,03;0,98
38;0,00;0,01;0,98
39;0,00;0,01;0,98
40;0,01;0,00;0,98
41;-0,01;0,01;0,99
42;-0,03;0,03;0,98
43;-0,04;0,01;0,98
44;-0,04;0,04;0,99
45;-0,06;-0,03;0,98
46;-0,04;-0,07;0,98
47;-0,03;-0,09;0,98
48;-0,04;-0,11;0,98
49;-0,01;-0,21;0,94
50;-0,00;-0,26;0,95
51;0,00;-0,32;0,95
52;0,01;-0,52;0,84
53;0,02;-0,60;0,76
54;0,02;-0,71;0,67
55;0,02;-0,77;0,60
56;-0,00;-0,85;0,46
57;-0,01;-0,88;0,43
58;-0,01;-0,96;0,33
59;-0,02;-0,94;0,28
60;-0,04;-0,98;0,16
61;-0,03;-0,98;0,10
62;-0,03;-1,00;0,02
63;-0,02;-0,99;-0,04
64;-0,01;-0,99;-0,10
65;-0,02;-0,99;-0,16
66;-0,01;-0,98;-0,17
67;-0,01;-0,98;-0,16
68;0,00;-0,99;-0,17
69;0,00;-0,99;-0,17
70;-0,01;-1,00;-0,14
71;-0,01;-0,99;-0,07
72;-0,00;-1,00;-0,06
73;-0,02;-1,00;-0,03
74;-0,04;-0,98;0,06
75;-0,03;-0,99;0,17
76;-0,04;-0,96;0,28
77;-0,02;-0,87;0,44
78;-0,02;-0,63;0,73
79;-0,01;-0,24;0,96
80;-0,00;-0,10;1,00
81;0,02;0,12;0,97
82;0,07;0,36;1,01
83;0,07;0,40;0,83
84;0,11;0,52;0,83
85;0,13;0,68;0,74
86;0,10;0,82;0,52
87;0,12;0,90;0,25
88;0,22;1,02;0,16
89;0,19;0,97;0,28
90;0,05;0,50;0,67
91;0,07;-0,08;0,89
92;0,12;-0,25;1,03
93;0,07;-1,48;0,70
94;0,09;-1,07;-0,24
95;0,11;-0,87;-0,33
96;0,15;-1,05;-0,06
97;0,16;-0,70;0,42
98;0,22;0,37;0,66
99;0,14;0,57;0,89
100;0,09;0,69;0,83
101;0,06;0,67;0,60
102;0,07;0,84;0,73
103;-0,10;0,51;0,70
104;-0,33;0,12;0,89
105;-0,61;0,07;0,80
106;-0,87;-0,10;0,55
107;-1,02;-0,22;0,49
108;-0,93;-0,33;0,27
109;-0,83;-0,21;-0,14
110;-0,95;-0,23;0,13
111;-1,04;-0,43;-0,32
112;-0,81;-0,15;-0,58
113;-0,82;0,42;-0,62
114;-0,68;0,13;-0,55
115;-0,78;-0,47;-0,64
116;-0,52;-0,31;-0,84
117;-0,39;-0,09;-0,90
118;-0,47;0,12;-0,95
